FM;Climate;Year;Fert;Soil;Crop;FMSoil;FMCrop;FMFert;Y;WPET
TAW-5;Mekelle;Normal;ANon limiting  ;CL;Long;TAW-5_CL;TAW-5_Long;TAW-5_ANon limiting  ;-20.9;-19.7
TAW-5;Mekelle;Normal;Moderate  ;CL;Long;TAW-5_CL;TAW-5_Long;TAW-5_Moderate  ;-19.8;-19.0
TAW-5;Mekelle;Normal;Poor  ;CL;Long;TAW-5_CL;TAW-5_Long;TAW-5_Poor  ;-13.2;-12.0
TAW-5;Mekelle;Normal;ANon limiting  ;CL;Medium;TAW-5_CL;TAW-5_Medium;TAW-5_ANon limiting  ;-15.7;-14.7
TAW-5;Mekelle;Normal;Moderate  ;CL;Medium;TAW-5_CL;TAW-5_Medium;TAW-5_Moderate  ;-11.7;-11.4
TAW-5;Mekelle;Normal;Poor  ;CL;Medium;TAW-5_CL;TAW-5_Medium;TAW-5_Poor  ;-7.2;-7.6
TAW-5;Mekelle;Normal;ANon limiting  ;CL;Short;TAW-5_CL;TAW-5_Short;TAW-5_ANon limiting  ;-12.0;-12.2
TAW-5;Mekelle;Normal;Moderate  ;CL;Short;TAW-5_CL;TAW-5_Short;TAW-5_Moderate  ;-2.7;-3.6
TAW-5;Mekelle;Normal;Poor  ;CL;Short;TAW-5_CL;TAW-5_Short;TAW-5_Poor  ;1.6;0.0
TAW-5;Mekelle;Normal;ANon limiting  ;LS;Long;TAW-5_LS;TAW-5_Long;TAW-5_ANon limiting  ;-87.7;-86.0
TAW-5;Mekelle;Normal;Moderate  ;LS;Long;TAW-5_LS;TAW-5_Long;TAW-5_Moderate  ;-87.0;-85.9
TAW-5;Mekelle;Normal;Poor  ;LS;Long;TAW-5_LS;TAW-5_Long;TAW-5_Poor  ;-84.1;-81.6
TAW-5;Mekelle;Normal;ANon limiting  ;LS;Medium;TAW-5_LS;TAW-5_Medium;TAW-5_ANon limiting  ;-88.4;-87.5
TAW-5;Mekelle;Normal;Moderate  ;LS;Medium;TAW-5_LS;TAW-5_Medium;TAW-5_Moderate  ;-86.8;-85.0
TAW-5;Mekelle;Normal;Poor  ;LS;Medium;TAW-5_LS;TAW-5_Medium;TAW-5_Poor  ;-83.0;-80.9
TAW-5;Mekelle;Normal;ANon limiting  ;LS;Short;TAW-5_LS;TAW-5_Short;TAW-5_ANon limiting  ;-87.7;-87.1
TAW-5;Mekelle;Normal;Moderate  ;LS;Short;TAW-5_LS;TAW-5_Short;TAW-5_Moderate  ;-83.8;-82.8
TAW-5;Mekelle;Normal;Poor  ;LS;Short;TAW-5_LS;TAW-5_Short;TAW-5_Poor  ;-77.6;-75.7
TAW-5;Mekelle;Normal;ANon limiting  ;S;Long;TAW-5_S;TAW-5_Long;TAW-5_ANon limiting  ;15.9;13.3
TAW-5;Mekelle;Normal;Moderate  ;S;Long;TAW-5_S;TAW-5_Long;TAW-5_Moderate  ;21.3;18.9
TAW-5;Mekelle;Normal;Poor  ;S;Long;TAW-5_S;TAW-5_Long;TAW-5_Poor  ;31.9;26.1
TAW-5;Mekelle;Normal;ANon limiting  ;S;Medium;TAW-5_S;TAW-5_Medium;TAW-5_ANon limiting  ;18.9;15.1
TAW-5;Mekelle;Normal;Moderate  ;S;Medium;TAW-5_S;TAW-5_Medium;TAW-5_Moderate  ;20.5;15.8
TAW-5;Mekelle;Normal;Poor  ;S;Medium;TAW-5_S;TAW-5_Medium;TAW-5_Poor  ;15.6;11.7
TAW-5;Mekelle;Normal;ANon limiting  ;S;Short;TAW-5_S;TAW-5_Short;TAW-5_ANon limiting  ;15.8;11.5
TAW-5;Mekelle;Normal;Moderate  ;S;Short;TAW-5_S;TAW-5_Short;TAW-5_Moderate  ;9.0;5.8
TAW-5;Mekelle;Normal;Poor  ;S;Short;TAW-5_S;TAW-5_Short;TAW-5_Poor  ;9.7;7.1
W15;Mekelle;Normal;ANon limiting  ;CL;Long;W15_CL;W15_Long;W15_ANon limiting  ;-8.7;-8.8
W15;Mekelle;Normal;Moderate  ;CL;Long;W15_CL;W15_Long;W15_Moderate  ;-10.8;-11.0
W15;Mekelle;Normal;Poor  ;CL;Long;W15_CL;W15_Long;W15_Poor  ;-8.9;-9.6
W15;Mekelle;Normal;ANon limiting  ;CL;Medium;W15_CL;W15_Medium;W15_ANon limiting  ;-10.1;-10.7
W15;Mekelle;Normal;Moderate  ;CL;Medium;W15_CL;W15_Medium;W15_Moderate  ;-10.1;-10.4
W15;Mekelle;Normal;Poor  ;CL;Medium;W15_CL;W15_Medium;W15_Poor  ;-10.7;-12.1
W15;Mekelle;Normal;ANon limiting  ;CL;Short;W15_CL;W15_Short;W15_ANon limiting  ;-11.3;-11.8
W15;Mekelle;Normal;Moderate  ;CL;Short;W15_CL;W15_Short;W15_Moderate  ;-10.7;-11.5
W15;Mekelle;Normal;Poor  ;CL;Short;W15_CL;W15_Short;W15_Poor  ;-10.1;-11.1
W15;Mekelle;Normal;ANon limiting  ;LS;Long;W15_LS;W15_Long;W15_ANon limiting  ;-8.2;-7.7
W15;Mekelle;Normal;Moderate  ;LS;Long;W15_LS;W15_Long;W15_Moderate  ;-10.1;-10.6
W15;Mekelle;Normal;Poor  ;LS;Long;W15_LS;W15_Long;W15_Poor  ;-11.2;-11.6
W15;Mekelle;Normal;ANon limiting  ;LS;Medium;W15_LS;W15_Medium;W15_ANon limiting  ;-9.4;-9.2
W15;Mekelle;Normal;Moderate  ;LS;Medium;W15_LS;W15_Medium;W15_Moderate  ;-10.7;-11.3
W15;Mekelle;Normal;Poor  ;LS;Medium;W15_LS;W15_Medium;W15_Poor  ;-11.2;-11.3
W15;Mekelle;Normal;ANon limiting  ;LS;Short;W15_LS;W15_Short;W15_ANon limiting  ;-11.7;-11.8
W15;Mekelle;Normal;Moderate  ;LS;Short;W15_LS;W15_Short;W15_Moderate  ;-11.5;-12.2
W15;Mekelle;Normal;Poor  ;LS;Short;W15_LS;W15_Short;W15_Poor  ;-11.6;-12.1
W15;Mekelle;Normal;ANon limiting  ;S;Long;W15_S;W15_Long;W15_ANon limiting  ;-8.7;-9.4
W15;Mekelle;Normal;Moderate  ;S;Long;W15_S;W15_Long;W15_Moderate  ;-9.4;-9.8
W15;Mekelle;Normal;Poor  ;S;Long;W15_S;W15_Long;W15_Poor  ;-10.2;-12.5
W15;Mekelle;Normal;ANon limiting  ;S;Medium;W15_S;W15_Medium;W15_ANon limiting  ;-8.9;-9.2
W15;Mekelle;Normal;Moderate  ;S;Medium;W15_S;W15_Medium;W15_Moderate  ;-9.3;-10.5
W15;Mekelle;Normal;Poor  ;S;Medium;W15_S;W15_Medium;W15_Poor  ;-10.7;-10.9
W15;Mekelle;Normal;ANon limiting  ;S;Short;W15_S;W15_Short;W15_ANon limiting  ;-9.1;-9.3
W15;Mekelle;Normal;Moderate  ;S;Short;W15_S;W15_Short;W15_Moderate  ;-10.7;-11.4
W15;Mekelle;Normal;Poor  ;S;Short;W15_S;W15_Short;W15_Poor  ;-10.4;-11.6
W30;Mekelle;Normal;ANon limiting  ;CL;Long;W30_CL;W30_Long;W30_ANon limiting  ;-17.9;-18.0
W30;Mekelle;Normal;Moderate  ;CL;Long;W30_CL;W30_Long;W30_Moderate  ;-22.8;-24.1
W30;Mekelle;Normal;Poor  ;CL;Long;W30_CL;W30_Long;W30_Poor  ;-21.6;-21.9
W30;Mekelle;Normal;ANon limiting  ;CL;Medium;W30_CL;W30_Medium;W30_ANon limiting  ;-20.5;-21.3
W30;Mekelle;Normal;Moderate  ;CL;Medium;W30_CL;W30_Medium;W30_Moderate  ;-21.5;-22.0
